what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293046421391
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293046421499
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1293046421701
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1293046421703
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1293046421703
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1293046421710
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1293046421711
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1293046421713
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1293046421718
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1293046421718
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1293046421719
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1293046421724
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1293046421726
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1293046421731
stopped,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1293046421736
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.v201006161022,"org.eclipse.mtj.jmunit",1293046421745
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1293046421748
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1293046421748
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1293046421749
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.0.v201006161022,"org.eclipse.mtj.eswt.templates",1293046421751
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.microemu",1293046421753
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.mpowerplayer",1293046421755
stopped,bundle,org.eclipse.mtj.toolkit.cinterion,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.cinterion",1293046421757
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.nokia",1293046421758
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.v201006161022,"org.eclipse.mtj.toolkit.uei",1293046421759
stopped,bundle,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui",1293046421759
stopped,bundle,org.eclipse.sequoyah.device.qemuarm,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.qemuarm",1293046421767
stopped,bundle,org.eclipse.sequoyah.device.qemu,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.qemu",1293046421776
stopped,bundle,org.eclipse.sequoyah.device.qemureact,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.qemureact",1293046421779
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1293046421779
stopped,bundle,jmunit.framework,1.2.1.v201006161022,"jmunit.framework",1293046421780
stopped,bundle,org.eclipse.mtj.core,1.2.1.v201006161022,"org.eclipse.mtj.core",1293046421781
stopped,bundle,org.eclipse.sequoyah.pulsar.ui,1.0.1.I20100517-0318,"org.eclipse.sequoyah.pulsar.ui",1293046421781
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1293046421782
stopped,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1293046421782
stopped,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1293046421782
stopped,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1293046421784
stopped,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1293046421791
stopped,bundle,org.eclipse.pde.ds.core,1.0.100.v20100601,"org.eclipse.pde.ds.core",1293046421802
stopped,bundle,org.eclipse.pde.ua.core,1.0.100.v20100504,"org.eclipse.pde.ua.core",1293046421814
stopped,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1293046421822
stopped,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1293046421822
stopped,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1293046421822
stopped,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1293046422207
stopped,bundle,org.eclipse.mtj.core.hooks,1.0.0.v201006161022,"org.eclipse.mtj.core.hooks",1293046422207
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1293046422218
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1293046422221
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1293046422222
