what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1293040826112
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1293040826114
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1293040826119
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1293040826148
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1293040826244
os,sysinfo,,,"win32",1293040826253
arch,sysinfo,,,"x86_64",1293040826253
ws,sysinfo,,,"win32",1293040826253
locale,sysinfo,,,"en_CA",1293040826253
processors,sysinfo,,,"4",1293040826254
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293040826254
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1293040826254
java.specification.name,sysinfo,,,"Java Platform API Specification",1293040826254
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293040826254
java.specification.version,sysinfo,,,"1.6",1293040826254
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293040826254
java.version,sysinfo,,,"1.6.0_22",1293040826254
java.vm.info,sysinfo,,,"mixed mode",1293040826254
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1293040826254
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293040826254
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293040826254
java.vm.specification.version,sysinfo,,,"1.0",1293040826254
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293040826254
java.vm.version,sysinfo,,,"17.1-b03",1293040826254
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1293040826270
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1293040826314
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1293040826324
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1293040826356
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1293040826399
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1293040826443
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1293040826485
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293040827017
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1293040827018
started,bundle,org.eclipse.sequoyah.device.framework,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.framework",1293040827033
started,bundle,org.eclipse.sequoyah.device.backward,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.backward",1293040827037
started,bundle,org.eclipse.sequoyah.device.service.vncviewer,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.service.vncviewer",1293040827067
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1293040827147
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.0.I20100614-0137,"org.eclipse.sequoyah.device.framework.wizard",1293040827149
started,bundle,org.eclipse.sequoyah.localization.tools,1.0.0.I20100614-0137,"org.eclipse.sequoyah.localization.tools",1293040827150
started,bundle,org.eclipse.sequoyah.localization.android,1.0.0.I20100614-0137,"org.eclipse.sequoyah.localization.android",1293040827168
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1293040827280
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1293040827547
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1293040827922
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1293040827926
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1293040827974
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1293040828245
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1293040837927
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1293040837956
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1293040838002
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293040845851
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.v201006161022,"org.eclipse.mtj.core.hooks",1293040850695
started,bundle,org.eclipse.mtj.core,1.2.1.v201006161022,"org.eclipse.mtj.core",1293040850747
started,bundle,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui",1293040850754
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1293040850888
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1293040850889
started,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.v201006161022,"org.eclipse.mtj.toolkit.uei",1293040871562
started,bundle,org.eclipse.mtj.toolkit.cinterion,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.cinterion",1293040871563
started,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.nokia",1293040871566
started,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.microemu",1293040871571
started,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.v201006161022,"org.eclipse.mtj.toolkit.mpowerplayer",1293040871575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293040979678
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293040980750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293040983518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293040986839
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041428439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041433692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041434258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041437963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041454061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041461403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041527777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041530846
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041541866
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1293041542173
activated,perspective,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui.MtjPerspective",1293041542195
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1293041542315
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1293041543470
opened,editor,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui.editor.JadEditor",1293041543639
activated,editor,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui.editor.JadEditor",1293041543659
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1293041547939
closed,editor,org.eclipse.mtj.ui,1.2.0.v201006161022,"org.eclipse.mtj.ui.editor.JadEditor",1293041547939
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1293041551021
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293041551150
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041556221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041568315
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1293041569582
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1293041569781
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1293041570232
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1293041572926
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1293041575247
executed,command,,,"org.eclipse.mtj.launchShortcuts.run",1293041576936
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1293041577115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041577784
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1293041577936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041585835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041591669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041593215
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293041593448
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1293041593793
